Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),Normalized ¹⁸F (CPM)
12.2628,8.4610,3.8018,2021-10-20 20:09,60,1.001,"2,977","2,979","61,256"
12.4300,8.4844,3.9456,2021-10-20 20:14,60,1.001,"2,931","2,933","62,365"
12.3763,8.4610,3.9153,2021-10-20 20:18,60,1.001,"2,797","2,799","60,677"
12.5842,8.4844,4.0998,2021-10-20 20:23,60,1.001,"2,768","2,770","62,355"
12.5142,8.4610,4.0532,2021-10-20 20:25,60,1.001,"2,557","2,558","58,291"
12.6839,8.4844,4.1995,2021-10-20 20:31,60,1.001,"2,614","2,615","61,621"
12.6137,8.4610,4.1527,2021-10-20 20:33,60,1.001,"2,463","2,465","58,765"
12.7850,8.4844,4.3006,2021-10-20 20:38,60,1.001,"2,540","2,541","62,848"
12.7145,8.4610,4.2535,2021-10-20 20:40,60,1.001,"2,355","2,356","58,972"
12.8849,8.4844,4.4005,2021-10-20 20:46,60,1.001,"2,319","2,320","60,044"
12.8131,8.4610,4.3521,2021-10-20 20:47,60,1.001,"2,388","2,389","62,570"
