Time,Counted time,Deadtime factor,Counts,Counts (deadtime corrected)
2021-09-02 8:26,60,1.002,10632,10655
2021-09-02 8:28,60,1.002,10948,10972
2021-09-02 8:29,60,1.002,10445,10467
2021-09-02 8:31,60,1.002,10301,10324
2021-09-02 8:48,60,1.002,9321,9338
2021-09-02 8:49,60,1.002,9331,9348
2021-09-02 8:51,60,1.002,9214,9231
2021-09-02 8:52,60,1.002,9188,9205
2021-09-02 9:09,60,1.002,8096,8109
2021-09-02 9:10,60,1.002,8048,8062
2021-09-02 9:12,60,1.002,8031,8045
2021-09-02 9:13,60,1.002,7961,7973
2021-09-02 9:30,60,1.001,7198,7208
2021-09-02 9:31,60,1.002,7212,7222
2021-09-02 9:33,60,1.001,6845,6854
2021-09-02 9:34,60,1.001,7121,7130
2021-09-02 9:51,60,1.001,6277,6285
2021-09-02 9:53,60,1.001,6069,6077
2021-09-02 9:54,60,1.001,6010,6018
2021-09-02 9:56,60,1.001,6125,6132
2021-09-02 10:12,60,1.001,5415,5421
2021-09-02 10:14,60,1.001,5445,5451
2021-09-02 10:15,60,1.001,5408,5414
2021-09-02 10:17,60,1.001,5443,5449
2021-09-02 10:34,60,1.001,4835,4840
2021-09-02 10:35,60,1.001,4724,4729
2021-09-02 10:37,60,1.001,4591,4595
2021-09-02 10:38,60,1.001,4682,4687
2021-09-02 10:55,60,1.001,4387,4391
2021-09-02 10:56,60,1.001,4221,4224
2021-09-02 10:58,60,1.001,4025,4029
2021-09-02 10:59,59,1.001,4057,4131
2021-09-02 11:15,60,1.001,3754,3757
2021-09-02 11:16,60,1.001,3647,3650
2021-09-02 11:18,60,1.001,3594,3597
2021-09-02 11:19,60,1.001,3648,3651
2021-09-02 11:34,60,1.001,3345,3347
2021-09-02 11:36,60,1.001,3235,3237
2021-09-02 11:37,60,1.001,3044,3046
2021-09-02 11:39,60,1.001,3210,3212
2021-09-02 11:56,60,1.001,2949,2951
2021-09-02 11:57,60,1.001,2852,2854
2021-09-02 11:59,60,1.001,2868,2870
2021-09-02 12:00,60,1.001,2882,2884
2021-09-02 12:17,60,1.001,2506,2507
2021-09-02 12:18,60,1.001,2480,2481
2021-09-02 12:20,60,1.001,2427,2428
2021-09-02 12:21,60,1.001,2508,2509
2021-09-02 12:35,60,1.001,2267,2268
2021-09-02 12:37,60,1.001,2260,2261
