Vial,Total mass (g),Tare (g),Sample mass (g),Time,Counted time (s),Dead time factor,¹⁸F (counts),¹⁸F (CPM),¹⁸F (Bq)
3,,,,2024-05-02 07:46,60,1.001,3938,3941,66
4,,,,2024-05-02 07:47,60,1.001,3808,3811,64
5,,,,2024-05-02 07:48,60,1.002,7280,7291,122
6,,,,2024-05-02 07:50,60,1.002,7335,7347,122
7,,,,2024-05-02 07:51,60,1.002,7220,7231,121
8,,,,2024-05-02 07:53,60,1.002,7153,7164,119
9,,,,2024-05-02 07:54,60,1.003,11860,11891,198
10,,,,2024-05-02 07:56,60,1.003,11880,11911,199
1,,,,2024-05-02 07:58,60,1.001,3610,3613,60
2,,,,2024-05-02 08:00,60,1.001,3456,3459,58
3,,,,2024-05-02 08:01,60,1.001,3559,3562,59
4,,,,2024-05-02 08:03,60,1.001,3455,3458,58
5,,,,2024-05-02 08:04,60,1.002,6818,6829,114
6,,,,2024-05-02 08:06,60,1.001,6633,6643,111
7,,,,2024-05-02 08:07,60,1.002,6556,6566,109
8,,,,2024-05-02 08:09,60,1.001,6516,6525,109
9,,,,2024-05-02 08:10,60,1.002,10683,10709,178
10,,,,2024-05-02 08:12,60,1.002,10772,10797,180
1,,,,2024-05-02 08:14,60,1.001,3226,3228,54
2,,,,2024-05-02 08:16,60,1.001,3204,3206,53
3,,,,2024-05-02 08:17,60,1.001,3122,3124,52
4,,,,2024-05-02 08:18,60,1.001,3123,3125,52
5,,,,2024-05-02 08:20,60,1.001,6128,6136,102
6,,,,2024-05-02 08:21,60,1.001,6224,6232,104
7,,,,2024-05-02 08:23,60,1.001,5974,5982,100
8,,,,2024-05-02 08:24,60,1.001,5815,5823,97
9,,,,2024-05-02 08:26,60,1.002,9676,9698,162
10,,,,2024-05-02 08:27,60,1.002,9682,9703,162
1,,,,2024-05-02 08:30,60,1.001,2878,2880,48
2,,,,2024-05-02 08:31,60,1.001,2923,2925,49
3,,,,2024-05-02 08:33,60,1.001,2903,2905,48
4,,,,2024-05-02 08:34,60,1.001,2933,2935,49
5,,,,2024-05-02 08:36,60,1.001,5474,5481,91
6,,,,2024-05-02 08:37,60,1.001,5454,5461,91
7,,,,2024-05-02 08:39,60,1.001,5311,5317,89
8,,,,2024-05-02 08:40,60,1.001,5387,5393,90
9,,,,2024-05-02 08:42,60,1.002,8885,8902,148
10,,,,2024-05-02 08:43,60,1.002,8844,8861,148
1,,,,2024-05-02 08:46,60,1.001,2599,2601,43
2,,,,2024-05-02 08:47,60,1.001,2563,2565,43
3,,,,2024-05-02 08:49,60,1.001,2624,2626,44
4,,,,2024-05-02 08:50,60,1.001,2604,2606,43
5,,,,2024-05-02 08:51,60,1.001,5027,5033,84
6,,,,2024-05-02 08:53,60,1.001,4912,4918,82
7,,,,2024-05-02 08:54,60,1.001,4850,4855,81
8,,,,2024-05-02 08:56,60,1.001,4673,4678,78
9,,,,2024-05-02 08:57,60,1.002,7905,7919,132
10,,,,2024-05-02 08:59,60,1.002,8029,8044,134
1,,,,2024-05-02 09:01,60,1.001,2459,2461,41
2,,,,2024-05-02 09:03,60,1.001,2394,2395,40
3,,,,2024-05-02 09:04,60,1.001,2504,2506,42
4,,,,2024-05-02 09:06,60,1.001,2260,2261,38
5,,,,2024-05-02 09:07,60,1.001,4484,4489,75
6,,,,2024-05-02 09:09,60,1.001,4449,4453,74
7,,,,2024-05-02 09:10,60,1.001,4449,4454,74
8,,,,2024-05-02 09:12,60,1.001,4343,4348,72
9,,,,2024-05-02 09:13,60,1.002,7280,7291,122
10,,,,2024-05-02 09:15,60,1.002,7288,7300,122
1,,,,2024-05-02 09:17,60,1.001,2150,2151,36
2,,,,2024-05-02 09:18,60,1,2070,2071,35
3,,,,2024-05-02 09:20,60,1.001,2092,2093,35
4,,,,2024-05-02 09:21,60,1.001,2157,2158,36
5,,,,2024-05-02 09:23,60,1.001,4117,4121,69
6,,,,2024-05-02 09:24,60,1.001,4048,4052,68
7,,,,2024-05-02 09:26,60,1.001,3937,3940,66
8,,,,2024-05-02 09:27,60,1.001,3953,3957,66
9,,,,2024-05-02 09:29,60,1.001,6420,6429,107
10,,,,2024-05-02 09:30,60,1.001,6594,6604,110
1,,,,2024-05-02 09:33,60,1.001,2005,2006,33
2,,,,2024-05-02 09:34,60,1,1898,1899,32
3,,,,2024-05-02 09:36,60,1,1941,1942,32
4,,,,2024-05-02 09:37,60,1,1960,1961,33
5,,,,2024-05-02 09:39,60,1.001,3709,3712,62
6,,,,2024-05-02 09:40,60,1.001,3821,3824,64
7,,,,2024-05-02 09:42,60,1.001,3756,3759,63
8,,,,2024-05-02 09:43,60,1.001,3642,3645,61
9,,,,2024-05-02 09:45,60,1.001,6000,6008,100
10,,,,2024-05-02 09:46,60,1.001,5977,5985,100
1,,,,2024-05-02 09:48,60,1.001,1781,1782,30
2,,,,2024-05-02 09:50,60,1,1712,1713,29
3,,,,2024-05-02 09:51,60,1,1803,1804,30
4,,,,2024-05-02 09:53,60,1,1793,1794,30
5,,,,2024-05-02 09:54,60,1.001,3366,3369,56
6,,,,2024-05-02 09:56,60,1.001,3330,3332,56
7,,,,2024-05-02 09:57,60,1.001,3267,3269,54
8,,,,2024-05-02 09:59,60,1.001,3337,3340,56
9,,,,2024-05-02 10:00,60,1.001,5542,5549,92
10,,,,2024-05-02 10:02,60,1.001,5404,5411,90
1,,,,2024-05-02 10:04,60,1,1636,1637,27
2,,,,2024-05-02 10:06,60,1,1634,1635,27
3,,,,2024-05-02 10:07,60,1,1701,1702,28
4,,,,2024-05-02 10:09,60,1,1555,1556,26
5,,,,2024-05-02 10:10,60,1.001,3093,3095,52
6,,,,2024-05-02 10:12,60,1.001,3102,3104,52
7,,,,2024-05-02 10:13,60,1.001,3003,3005,50
8,,,,2024-05-02 10:15,60,1.001,2964,2966,49
9,,,,2024-05-02 10:16,60,1.001,4877,4882,81
10,,,,2024-05-02 10:18,60,1.001,4922,4928,82
1,,,,2024-05-02 10:20,60,1,1514,1515,25
2,,,,2024-05-02 10:21,60,1,1410,1410,24
3,,,,2024-05-02 10:23,60,1,1546,1547,26
4,,,,2024-05-02 10:24,60,1,1446,1446,24
5,,,,2024-05-02 10:26,60,1.001,2901,2903,48
6,,,,2024-05-02 10:27,60,1.001,2793,2795,47
7,,,,2024-05-02 10:29,60,1.001,2770,2772,46
8,,,,2024-05-02 10:30,60,1.001,2738,2740,46
9,,,,2024-05-02 10:32,60,1.001,4488,4492,75
10,,,,2024-05-02 10:33,60,1.001,4439,4444,74
1,,,,2024-05-02 10:36,60,1,1324,1324,22
2,,,,2024-05-02 10:37,60,1,1361,1361,23
3,,,,2024-05-02 10:39,60,1,1370,1370,23
4,,,,2024-05-02 10:40,60,1,1299,1299,22
5,,,,2024-05-02 10:42,60,1.001,2596,2597,43
6,,,,2024-05-02 10:43,60,1.001,2628,2630,44
7,,,,2024-05-02 10:45,60,1.001,2512,2513,42
8,,,,2024-05-02 10:46,60,1.001,2449,2450,41
9,,,,2024-05-02 10:48,60,1.001,3994,3997,67
10,,,,2024-05-02 10:49,60,1.001,4124,4128,69
1,,,,2024-05-02 10:51,60,1,1230,1230,21
2,,,,2024-05-02 10:53,60,1,1203,1203,20
3,,,,2024-05-02 10:54,60,1,1229,1229,20
4,,,,2024-05-02 10:56,60,1,1263,1263,21
5,,,,2024-05-02 10:57,60,1.001,2282,2283,38
6,,,,2024-05-02 10:59,60,1.001,2359,2360,39
7,,,,2024-05-02 11:00,60,1.001,2244,2245,37
8,,,,2024-05-02 11:02,60,1.001,2233,2234,37
9,,,,2024-05-02 11:03,60,1.001,3654,3657,61
10,,,,2024-05-02 11:05,60,1.001,3751,3754,63
1,,,,2024-05-02 11:07,60,1,1078,1078,18
2,,,,2024-05-02 11:09,60,1,1109,1109,18
3,,,,2024-05-02 11:10,60,1,1103,1103,18
4,,,,2024-05-02 11:12,60,1,1055,1055,18
5,,,,2024-05-02 11:13,60,1.001,2095,2096,35
6,,,,2024-05-02 11:15,60,1.001,2067,2068,34
7,,,,2024-05-02 11:16,60,1.001,2029,2030,34
8,,,,2024-05-02 11:18,60,1.001,2049,2050,34
9,,,,2024-05-02 11:19,60,1.001,3358,3361,56
10,,,,2024-05-02 11:21,60,1.001,3364,3367,56
1,,,,2024-05-02 11:23,60,1,1061,1061,18
2,,,,2024-05-02 11:24,60,1,1004,1004,17
3,,,,2024-05-02 11:26,60,1,987,987,16
4,,,,2024-05-02 11:27,60,1,941,941,16
5,,,,2024-05-02 11:29,60,1,1948,1949,32
6,,,,2024-05-02 11:30,60,1,1944,1945,32
7,,,,2024-05-02 11:32,60,1,1831,1832,31
8,,,,2024-05-02 11:33,60,1.001,1835,1836,31
9,,,,2024-05-02 11:35,60,1.001,3096,3098,52
10,,,,2024-05-02 11:36,60,1.001,2948,2950,49
1,,,,2024-05-02 11:39,60,1,856,856,14
2,,,,2024-05-02 11:40,60,1,949,949,16
3,,,,2024-05-02 11:42,60,1,958,958,16
4,,,,2024-05-02 11:43,60,1,889,889,15
5,,,,2024-05-02 11:45,60,1,1679,1680,28
6,,,,2024-05-02 11:46,60,1.001,1738,1739,29
7,,,,2024-05-02 11:48,60,1,1724,1725,29
8,,,,2024-05-02 11:49,60,1,1664,1665,28
9,,,,2024-05-02 11:51,60,1.001,2738,2740,46
10,,,,2024-05-02 11:52,60,1.001,2725,2727,45
1,,,,2024-05-02 11:54,60,1,794,794,13
2,,,,2024-05-02 11:56,60,1,873,873,15
3,,,,2024-05-02 11:57,60,1,862,862,14
4,,,,2024-05-02 11:59,60,1,808,808,13
5,,,,2024-05-02 12:00,60,1,1569,1570,26
6,,,,2024-05-02 12:02,60,1,1598,1599,27
7,,,,2024-05-02 12:03,60,1,1577,1578,26
8,,,,2024-05-02 12:05,60,1,1605,1606,27
9,,,,2024-05-02 12:06,60,1.001,2560,2562,43
10,,,,2024-05-02 12:08,60,1.001,2483,2484,41
1,,,,2024-05-02 12:10,60,1,792,792,13
2,,,,2024-05-02 12:12,60,1,752,752,13
3,,,,2024-05-02 12:13,60,1,787,787,13
4,,,,2024-05-02 12:15,60,1,803,803,13
5,,,,2024-05-02 12:16,60,1,1436,1436,24
6,,,,2024-05-02 12:18,60,1,1411,1411,24
7,,,,2024-05-02 12:19,60,1,1420,1420,24
8,,,,2024-05-02 12:21,60,1,1400,1400,23
9,,,,2024-05-02 12:22,60,1.001,2332,2333,39
10,,,,2024-05-02 12:24,60,1.001,2225,2226,37
1,,,,2024-05-02 12:26,60,1,661,661,11
2,,,,2024-05-02 12:27,60,1,675,675,11
3,,,,2024-05-02 12:29,60,1,775,775,13
4,,,,2024-05-02 12:30,60,1,724,724,12
5,,,,2024-05-02 12:32,60,1,1290,1290,22
6,,,,2024-05-02 12:33,60,1,1345,1345,22
7,,,,2024-05-02 12:35,60,1,1239,1239,21
8,,,,2024-05-02 12:36,60,1,1216,1216,20
9,,,,2024-05-02 12:38,60,1,2031,2032,34
10,,,,2024-05-02 12:39,60,1.001,2151,2152,36
1,,,,2024-05-02 12:42,60,1,616,616,10
2,,,,2024-05-02 12:43,60,1,642,642,11
3,,,,2024-05-02 12:45,60,1,658,658,11
4,,,,2024-05-02 12:46,60,1,586,586,10
5,,,,2024-05-02 12:48,60,1,1130,1130,19
6,,,,2024-05-02 12:49,60,1,1187,1187,20
7,,,,2024-05-02 12:51,60,1,1153,1153,19
8,,,,2024-05-02 12:52,60,1,1134,1134,19
9,,,,2024-05-02 12:54,60,1.001,1925,1926,32
10,,,,2024-05-02 12:55,60,1.001,1903,1904,32
1,,,,2024-05-02 12:58,60,1,568,568,9
2,,,,2024-05-02 12:59,60,1,555,555,9
3,,,,2024-05-02 13:01,60,1,609,609,10
4,,,,2024-05-02 13:02,60,1,545,545,9
5,,,,2024-05-02 13:03,60,1,1038,1038,17
6,,,,2024-05-02 13:05,60,1,1109,1109,18
7,,,,2024-05-02 13:06,60,1,1026,1026,17
8,,,,2024-05-02 13:08,60,1,1029,1029,17
9,,,,2024-05-02 13:09,60,1,1664,1665,28
10,,,,2024-05-02 13:11,60,1,1742,1743,29
1,,,,2024-05-02 13:13,60,1,569,569,9
2,,,,2024-05-02 13:15,60,1,559,559,9
3,,,,2024-05-02 13:16,60,1,497,497,8
4,,,,2024-05-02 13:18,60,1,497,497,8
5,,,,2024-05-02 13:19,60,1,980,980,16
6,,,,2024-05-02 13:21,60,1,999,999,17
7,,,,2024-05-02 13:22,60,1,940,940,16
8,,,,2024-05-02 13:24,60,1,946,946,16
9,,,,2024-05-02 13:25,60,1,1652,1653,28
10,,,,2024-05-02 13:27,60,1,1543,1544,26
1,,,,2024-05-02 13:29,60,1,456,456,8
2,,,,2024-05-02 13:31,60,1,483,483,8
3,,,,2024-05-02 13:32,60,1,480,480,8
4,,,,2024-05-02 13:34,60,1,468,468,8
5,,,,2024-05-02 13:35,60,1,887,887,15
6,,,,2024-05-02 13:37,60,1,885,885,15
7,,,,2024-05-02 13:38,60,1,874,874,15
8,,,,2024-05-02 13:40,60,1,839,839,14
9,,,,2024-05-02 13:41,60,1,1439,1440,24
10,,,,2024-05-02 13:43,60,1,1415,1416,24
1,,,,2024-05-02 13:45,60,1,429,429,7
2,,,,2024-05-02 13:46,60,1,404,404,7
3,,,,2024-05-02 13:48,60,1,468,468,8
4,,,,2024-05-02 13:49,60,1,404,404,7
5,,,,2024-05-02 13:51,60,1,814,814,14
6,,,,2024-05-02 13:52,60,1,822,822,14
7,,,,2024-05-02 13:54,60,1,751,751,13
8,,,,2024-05-02 13:55,60,1,784,784,13
9,,,,2024-05-02 13:57,60,1,1279,1279,21
10,,,,2024-05-02 13:58,60,1,1304,1304,22
1,,,,2024-05-02 14:01,60,1,410,410,7
2,,,,2024-05-02 14:02,60,1,393,393,7
3,,,,2024-05-02 14:04,60,1,384,384,6
4,,,,2024-05-02 14:05,60,1,375,375,6
5,,,,2024-05-02 14:07,60,1,719,719,12
6,,,,2024-05-02 14:08,60,1,731,731,12
7,,,,2024-05-02 14:10,60,1,686,686,11
8,,,,2024-05-02 14:11,60,1,756,756,13
9,,,,2024-05-02 14:13,60,1,1164,1164,19
10,,,,2024-05-02 14:14,60,1,1139,1139,19
1,,,,2024-05-02 14:17,60,1,389,389,6
2,,,,2024-05-02 14:18,60,1,388,388,6
3,,,,2024-05-02 14:20,60,1,359,359,6
4,,,,2024-05-02 14:21,60,1,356,356,6
5,,,,2024-05-02 14:23,60,1,679,679,11
6,,,,2024-05-02 14:24,60,1,665,665,11
7,,,,2024-05-02 14:26,60,1,619,619,10
8,,,,2024-05-02 14:27,60,1,655,655,11
9,,,,2024-05-02 14:29,60,1,1007,1007,17
10,,,,2024-05-02 14:30,60,1,1057,1057,18
1,,,,2024-05-02 14:33,60,1,374,374,6
2,,,,2024-05-02 14:34,60,1,324,324,5
3,,,,2024-05-02 14:36,60,1,330,330,6
4,,,,2024-05-02 14:37,60,1,384,384,6
5,,,,2024-05-02 14:39,60,1,598,598,10
6,,,,2024-05-02 14:40,60,1,616,616,10
7,,,,2024-05-02 14:42,60,1,601,601,10
8,,,,2024-05-02 14:43,60,1,632,632,11
9,,,,2024-05-02 14:45,60,1,996,996,17
10,,,,2024-05-02 14:46,60,1,1004,1004,17
1,,,,2024-05-02 14:49,60,1,339,339,6
2,,,,2024-05-02 14:50,60,1,286,286,5
3,,,,2024-05-02 14:52,60,1,319,319,5
4,,,,2024-05-02 14:53,60,1,303,303,5
5,,,,2024-05-02 14:55,60,1,550,550,9
6,,,,2024-05-02 14:56,60,1,572,572,10
7,,,,2024-05-02 14:58,60,1,527,527,9
8,,,,2024-05-02 14:59,60,1,540,540,9
9,,,,2024-05-02 15:01,60,1,886,886,15
10,,,,2024-05-02 15:02,60,1,897,897,15
1,,,,2024-05-02 15:04,60,1,250,250,4
2,,,,2024-05-02 15:06,60,1,268,268,4
3,,,,2024-05-02 15:07,60,1,289,289,5
4,,,,2024-05-02 15:09,60,1,298,298,5
5,,,,2024-05-02 15:10,60,1,510,510,9
6,,,,2024-05-02 15:12,60,1,519,519,9
7,,,,2024-05-02 15:13,60,1,512,512,9
8,,,,2024-05-02 15:15,60,1,509,509,8
9,,,,2024-05-02 15:16,60,1,853,853,14
10,,,,2024-05-02 15:18,60,1,787,787,13
1,,,,2024-05-02 15:20,60,1,275,275,5
2,,,,2024-05-02 15:22,60,1,270,270,5
3,,,,2024-05-02 15:23,60,1,272,272,5
4,,,,2024-05-02 15:25,60,1,246,246,4
5,,,,2024-05-02 15:26,60,1,534,534,9
6,,,,2024-05-02 15:28,60,1,500,500,8
7,,,,2024-05-02 15:29,60,1,460,460,8
8,,,,2024-05-02 15:31,60,1,474,474,8
9,,,,2024-05-02 15:32,60,1,714,714,12
10,,,,2024-05-02 15:34,60,1,755,755,13
1,,,,2024-05-02 15:36,60,1,247,247,4
2,,,,2024-05-02 15:38,60,1,220,220,4
3,,,,2024-05-02 15:39,60,1,238,238,4
4,,,,2024-05-02 15:41,60,1,217,217,4
5,,,,2024-05-02 15:42,60,1,463,463,8
6,,,,2024-05-02 15:44,60,1,475,475,8
7,,,,2024-05-02 15:45,60,1,431,431,7
8,,,,2024-05-02 15:47,60,1,405,405,7
9,,,,2024-05-02 15:48,60,1,663,663,11
10,,,,2024-05-02 15:50,60,1,713,713,12
1,,,,2024-05-02 15:52,60,1,214,214,4
2,,,,2024-05-02 15:54,60,1,223,223,4
3,,,,2024-05-02 15:55,60,1,221,221,4
4,,,,2024-05-02 15:56,60,1,221,221,4
5,,,,2024-05-02 15:58,60,1,392,392,7
6,,,,2024-05-02 15:59,60,1,377,377,6
7,,,,2024-05-02 16:01,60,1,387,387,6
8,,,,2024-05-02 16:02,60,1,402,402,7
9,,,,2024-05-02 16:04,60,1,614,614,10
10,,,,2024-05-02 16:05,60,1,636,636,11
1,,,,2024-05-02 16:08,60,1,230,230,4
2,,,,2024-05-02 16:09,60,1,194,194,3
3,,,,2024-05-02 16:11,60,1,215,215,4
4,,,,2024-05-02 16:12,60,1,175,175,3
5,,,,2024-05-02 16:14,60,1,366,366,6
6,,,,2024-05-02 16:15,60,1,369,369,6
7,,,,2024-05-02 16:17,60,1,359,359,6
8,,,,2024-05-02 16:18,60,1,357,357,6
9,,,,2024-05-02 16:20,60,1,545,545,9
10,,,,2024-05-02 16:21,60,1,578,578,10
1,,,,2024-05-02 16:24,60,1,201,201,3
2,,,,2024-05-02 16:25,60,1,191,191,3
3,,,,2024-05-02 16:27,60,1,192,192,3
4,,,,2024-05-02 16:28,60,1,194,194,3
5,,,,2024-05-02 16:30,60,1,369,369,6
6,,,,2024-05-02 16:31,60,1,326,326,5
7,,,,2024-05-02 16:33,60,1,337,337,6
8,,,,2024-05-02 16:34,60,1,367,367,6
9,,,,2024-05-02 16:36,60,1,565,565,9
10,,,,2024-05-02 16:37,60,1,498,498,8
